Assay	Cell Type	Molecule
CAGE	cervical cancer cell line:ME-180	
CAGE	osteosarcoma cell line:HS-Os-1	
CAGE	osteosarcoma cell line:HS-Os-1	
CAGE	Melanocyte - light,	
CAGE	Melanocyte - light,	
CAGE	Osteoblast - differentiated,	
CAGE	Osteoblast - differentiated,	
CAGE	Mesenchymal Stem Cells - bone marrow,	
CAGE	Mesenchymal Stem Cells - bone marrow,	
CAGE	Pericytes,	
CAGE	Pericytes,	
CAGE	Fibroblast - Choroid Plexus,	
CAGE	Fibroblast - Choroid Plexus,	
CAGE	Meningeal Cells,	
CAGE	Meningeal Cells,	
CAGE	Astrocyte - cerebellum,	
CAGE	Astrocyte - cerebellum,	
CAGE	Fibroblast - Lymphatic,	
CAGE	Fibroblast - Lymphatic,	
CAGE	Esophageal Epithelial Cells,	
CAGE	Esophageal Epithelial Cells,	
CAGE	Smooth Muscle Cells - Esophageal,	
CAGE	Smooth Muscle Cells - Esophageal,	
CAGE	Alveolar Epithelial Cells,	
CAGE	Alveolar Epithelial Cells,	
CAGE	Bronchial Epithelial Cell,	
CAGE	Bronchial Epithelial Cell,	
CAGE	Smooth Muscle Cells - Bronchial,	
CAGE	Smooth Muscle Cells - Bronchial,	
CAGE	Smooth Muscle Cells - Tracheal,	
CAGE	Smooth Muscle Cells - Tracheal,	
CAGE	Renal Proximal Tubular Epithelial Cell,	
CAGE	Renal Proximal Tubular Epithelial Cell,	
CAGE	Renal Cortical Epithelial Cells,	
CAGE	Renal Cortical Epithelial Cells,	
CAGE	Renal Epithelial Cells,	
CAGE	Renal Epithelial Cells,	
CAGE	Renal Mesangial Cells,	
CAGE	Renal Mesangial Cells,	
CAGE	Urothelial Cells,	
CAGE	Urothelial Cells,	
CAGE	Hepatic Stellate Cells (lipocyte),	
CAGE	Hepatic Stellate Cells (lipocyte),	
CAGE	Corneal Epithelial Cells,	
CAGE	Corneal Epithelial Cells,	
CAGE	Keratocytes,	
CAGE	Keratocytes,	
CAGE	Fibroblast - Conjunctival,	
CAGE	Fibroblast - Conjunctival,	
CAGE	Trabecular Meshwork Cells,	
CAGE	Trabecular Meshwork Cells,	
CAGE	Amniotic Epithelial Cells,	
CAGE	Amniotic Epithelial Cells,	
CAGE	Fibroblast - Villous Mesenchymal,	
CAGE	Fibroblast - Villous Mesenchymal,	
CAGE	Mesenchymal Stem Cells - adipose,	
CAGE	Mesenchymal Stem Cells - adipose,	
CAGE	Mesenchymal Stem Cells - hepatic,	
CAGE	Mesenchymal Stem Cells - hepatic,	
CAGE	Mesenchymal Stem Cells - umbilical,	
CAGE	Mesenchymal Stem Cells - umbilical,	
CAGE	Fibroblast - Mammary,	
CAGE	Fibroblast - Mammary,	
CAGE	Mesenchymal Stem Cells - amniotic membrane,	
CAGE	Mesenchymal Stem Cells - amniotic membrane,	
CAGE	Multipotent Cord Blood Unrestricted Somatic Stem Cells,	
CAGE	Multipotent Cord Blood Unrestricted Somatic Stem Cells,	
